stock_id,name,bucket,market
2330,TSMC,Foundry / CoWoS (anchor),TWSE
2317,Hon Hai (Foxconn),Rack integration,TWSE
2382,Quanta,ODM integration,TWSE
6669,Wiwynn,ODM integration,TWSE
3231,Wistron,ODM integration,TWSE
2376,Gigabyte,Server boards,TWSE
2308,Delta Electronics,Power + liquid cooling,TWSE
2301,Lite-On Technology,Power (PSU),TWSE
3017,Asia Vital Components,Liquid cooling,TWSE
3324,Auras Technology,Liquid cooling,TWSE
2383,Elite Material,CCL / laminate,TWSE
3037,Unimicron,Substrate / PCB,TWSE
3665,BizLink,Copper interconnect / cable,TWSE
4966,Lotes,Connectors / sockets,TPEx
5274,ASPEED,BMC,TPEx
8210,Chenbro,Chassis,TWSE
